name,ft_active,ft_seq,ft_vert,ft_seq_index,ft_vert_index,ft_order,pt_active,pt_seq,pt_vert,pt_seq_index,pt_vert_index,pt_order,tag,file
LAB | AXIOS CRUD Characters,TRUE,Week 5,Day 4,5,3,5,TRUE,Week 12,Halfday 4,12,3,2,LAB,module-2/labs/lab-ajax-crud-characters.md
Express | File Upload CDN,TRUE,Week 5,Day 5,5,4,0,TRUE,Week 13,Halfday 1,13,0,0,,module-2/week-5/file-upload-cdn.md
Bonus: Express | File Upload,TRUE,Week 5,Day 5,5,4,1,TRUE,Week 13,Halfday 1,13,0,1,,module-2/week-5/node-file-upload.md
Bonus: LAB | File Upload,TRUE,Week 5,Day 5,5,4,2,TRUE,Week 13,Halfday 1,13,0,2,LAB,module-2/labs/lab-file-upload.md
Bonus: LAB | IronRooms,TRUE,Week 5,Day 5,5,4,3,TRUE,Week 13,Halfday 2,13,1,0,LAB,module-2/labs/lab-express-rooms-with-reviews.md
Deploy to Heroku,TRUE,Week 5,Day 5,5,4,4,TRUE,Week 13,Halfday 2,13,1,1,,module-2/week-5/node-heroku-deploy.md
Project planning session,TRUE,Week 5,Day 5,5,4,5,TRUE,Week 13,Halfday 2,13,1,2,RITUALS,other/project-planning.md
Project #2 Guidelines: Full-stack Web Application,TRUE,Week 5,Day 5,5,4,6,TRUE,Week 13,Halfday 2,13,1,3,PROJECT,module-2/project-2.md
Stand ups,TRUE,Week 6,Day 1,6,0,0,TRUE,Week 13,Halfday 3,13,2,0,,other/stand-ups.md
Code interview test: Persistent Bugger,TRUE,Week 6,Day 1,6,0,1,TRUE,Week 13,Halfday 3,13,2,1,,module-2/week-6/kata-persistent-bugger.md
Software Engineering Principles,TRUE,Week 6,Day 1,6,0,2,TRUE,Week 13,Halfday 4,13,3,0,SELF_GUIDED,module-2/week-5/self-guided/software-engineering-principles.md
Project development,TRUE,Week 6,Day 1,6,0,3,TRUE,Week 13,Halfday 4,13,3,1,,other/project-dev.md
Stand ups,TRUE,Week 6,Day 2,6,1,0,TRUE,Week 14,Halfday 1,14,0,0,,other/stand-ups.md
Code interview test: Playing with digits,TRUE,Week 6,Day 2,6,1,1,TRUE,Week 14,Halfday 1,14,0,1,,module-2/week-6/kata-playing-with-digits.md
Google Maps | Geolocation,TRUE,Week 6,Day 2,6,1,2,TRUE,Week 14,Halfday 1,14,0,2,SELF_GUIDED,module-2/week-5/google-maps-geolocation.md
Google Maps & Express,TRUE,Week 6,Day 2,6,1,3,TRUE,Week 14,Halfday 2,14,1,0,SELF_GUIDED,module-2/week-5/google-maps-express.md
LAB | Coffee and books,TRUE,Week 6,Day 2,6,1,4,TRUE,Week 14,Halfday 2,14,1,1,SELF_GUIDED,module-2/labs/lab-coffee-and-books.md
Project development,TRUE,Week 6,Day 2,6,1,5,TRUE,Week 14,Halfday 2,14,1,2,,other/project-dev.md
Stand ups,TRUE,Week 6,Day 3,6,2,0,TRUE,Week 14,Halfday 3,14,2,0,,other/stand-ups.md
Code interview test: Find the missing letter,TRUE,Week 6,Day 3,6,2,1,TRUE,Week 14,Halfday 3,14,2,1,,module-2/week-6/kata-find-the-missing-letter.md
Nodemailer,TRUE,Week 6,Day 3,6,2,2,TRUE,Week 14,Halfday 3,14,2,2,SELF_GUIDED,module-2/week-5/nodemailer.md
LAB | Nodemailer,TRUE,Week 6,Day 3,6,2,3,TRUE,Week 14,Halfday 4,14,3,0,SELF_GUIDED,module-2/labs/lab-nodemailer.md
Project development,TRUE,Week 6,Day 3,6,2,4,TRUE,Week 14,Halfday 4,14,3,1,,other/project-dev.md
Presentation practice (optional),TRUE,Week 6,Day 3,6,2,5,TRUE,Week 14,Halfday 4,14,3,2,,other/presentations.md
Stand ups,TRUE,Week 6,Day 4,6,3,0,TRUE,Week 15,Halfday 1,15,0,0,,other/stand-ups.md
Code interview test: Street Fighter 2 - Character selection,TRUE,Week 6,Day 4,6,3,1,TRUE,Week 15,Halfday 1,15,0,1,,module-2/week-6/kata-street-fighter-2.md
Project development,TRUE,Week 6,Day 4,6,3,2,TRUE,Week 15,Halfday 2,15,1,0,,other/project-dev.md
Presentation practice (mandatory),TRUE,Week 6,Day 4,6,3,3,TRUE,Week 15,Halfday 2,15,1,1,,other/presentations.md
Project development,TRUE,Week 6,Day 5,6,4,0,TRUE,Week 15,Halfday 3,15,2,0,,other/project-dev.md
Presentations - Project #2,TRUE,Week 6,Day 5,6,4,1,TRUE,Week 15,Halfday 4,15,3,0,,other/final-presentation.md
Project retrospective,TRUE,Week 7,Day 1,7,0,0,TRUE,Week 16,Halfday 1,16,0,0,,module-2/week-4/retrospective.md
Project feedback,TRUE,Week 7,Day 1,7,0,1,TRUE,Week 16,Halfday 1,16,0,1,,module-3/week-7/retrospective.md
React | Intro to React - Create React app from the scratch,TRUE,Week 7,Day 1,7,0,2,TRUE,Week 16,Halfday 2,16,1,0,,module-3/week-7/react-intro-babel-webpack.md
"React | Create React App, JSX and React elements",TRUE,Week 7,Day 1,7,0,3,TRUE,Week 16,Halfday 2,16,1,1,,module-3/week-7/cra-jsx-elements.md
LAB | Hello Ironhack,TRUE,Week 7,Day 1,7,0,4,TRUE,Week 16,Halfday 2,16,1,2,LAB,module-3/labs/lab-hello-ironhack.md
HOF exercises,TRUE,Week 7,Day 1,7,0,5,TRUE,Week 16,Halfday 2,16,1,3,,module-3/week-7/hof-katas.md
React | Components and Props,TRUE,Week 7,Day 2,7,1,0,TRUE,Week 16,Halfday 3,16,2,0,,module-3/week-7/props.md
LAB | Bulma,TRUE,Week 7,Day 2,7,1,1,TRUE,Week 16,Halfday 3,16,2,1,LAB,module-3/labs/lab-bulma-components.md
React | State,TRUE,Week 7,Day 2,7,1,2,TRUE,Week 16,Halfday 3,16,2,2,,module-3/week-7/state.md
LAB | React training [steps 1-7],TRUE,Week 7,Day 2,7,1,3,TRUE,Week 16,Halfday 4,16,3,0,LAB,module-3/labs/lab-react-training.md
React | Composition and Inheritance - general concept,TRUE,Week 7,Day 2,7,1,4,TRUE,Week 16,Halfday 4,16,3,1,SELF_GUIDED,module-3/week-7/composition-inheritance-general.md
React | Using composition in React,TRUE,Week 7,Day 2,7,1,5,TRUE,Week 16,Halfday 4,16,3,2,SELF_GUIDED,module-3/week-7/using-composition-in-react.md
React | Composition vs. Inheritance,TRUE,Week 7,Day 2,7,1,6,TRUE,Week 16,Halfday 4,16,3,3,SELF_GUIDED,module-3/week-7/sg-composition-inheritance.md
React | List & Keys,TRUE,Week 7,Day 3,7,2,0,TRUE,Week 17,Halfday 1,17,0,0,,module-3/week-7/list-keys.md
React | Conditional Rendering,TRUE,Week 7,Day 3,7,2,1,TRUE,Week 17,Halfday 1,17,0,1,,module-3/week-7/conditional-rendering.md
LAB | React IronContacts,TRUE,Week 7,Day 3,7,2,2,TRUE,Week 17,Halfday 1,17,0,2,LAB,module-3/labs/lab-react-ironcontacts.md
React | Forms,TRUE,Week 7,Day 3,7,2,3,TRUE,Week 17,Halfday 2,17,1,0,,module-3/week-7/forms.md
LAB | React IronNutrition,TRUE,Week 7,Day 3,7,2,4,TRUE,Week 17,Halfday 2,17,1,1,LAB,module-3/labs/lab-react-ironnutrition.md
"Lab review - reinforcement of state, props, forms in React",TRUE,Week 7,Day 4,7,3,0,TRUE,Week 17,Halfday 3,17,2,0,,module-3/week-7/state-props-forms-reinforcement.md
React | Lifting State Up,TRUE,Week 7,Day 4,7,3,1,TRUE,Week 17,Halfday 3,17,2,1,,module-3/week-7/lifting-state-up.md
LAB | Thinking in React,TRUE,Week 7,Day 4,7,3,2,TRUE,Week 17,Halfday 3,17,2,2,LAB,module-3/labs/lab-thinking-in-react.md
React | Lifecycle methods,TRUE,Week 7,Day 4,7,3,3,TRUE,Week 17,Halfday 4,17,3,0,,module-3/week-7/lifecycle-methods.md
React | Intro to Routing,TRUE,Week 7,Day 4,7,3,4,TRUE,Week 17,Halfday 4,17,3,1,,module-3/week-7/routing-intro.md
LAB | React Training [steps 8 and up],TRUE,Week 7,Day 4,7,3,5,TRUE,Week 17,Halfday 4,17,3,2,SELF_GUIDED,module-3/labs/lab-react-training.md
React | Lifting State Up - advanced,TRUE,Week 7,Day 4,7,3,6,TRUE,Week 17,Halfday 4,17,3,3,SELF_GUIDED,module-3/week-7/additional-lifting-state-up.md
React | Routing Advanced,TRUE,Week 7,Day 5,7,4,0,TRUE,Week 18,Halfday 1,18,0,0,,module-3/week-7/routing-advanced.md
LAB | Wiki Countries,TRUE,Week 7,Day 5,7,4,1,TRUE,Week 18,Halfday 1,18,0,1,LAB,module-3/labs/lab-wiki-countries.md
React | Connecting React app to the backend,TRUE,Week 7,Day 5,7,4,2,TRUE,Week 18,Halfday 2,18,1,0,,module-3/week-7/connecting-react-to-backend.md
LAB | React IronBeers,TRUE,Week 7,Day 5,7,4,3,TRUE,Week 18,Halfday 2,18,1,1,LAB,module-3/labs/lab-react-ironbeers.md
React | Building the Rest API,TRUE,Week 8,Day 1,8,0,0,TRUE,Week 18,Halfday 3,18,2,0,,module-3/week-7/front-back-integration-I.md
React | Integrating the React App,TRUE,Week 8,Day 1,8,0,1,TRUE,Week 18,Halfday 3,18,2,1,,module-3/week-7/front-back-integration-II.md
React | Authentication,TRUE,Week 8,Day 1,8,0,2,TRUE,Week 18,Halfday 4,18,3,0,,module-3/week-8/authentication.md
React & Express | File Upload,TRUE,Week 8,Day 2,8,1,0,TRUE,Week 19,Halfday 1,19,0,0,,module-3/week-8/file-upload.md
Bonus: LAB | Profile App,TRUE,Week 8,Day 2,8,1,1,TRUE,Week 19,Halfday 1,19,0,1,LAB,module-3/labs/lab-profile-app.md
React | Deployment,TRUE,Week 8,Day 2,8,1,2,TRUE,Week 19,Halfday 2,19,1,0,,module-3/week-8/deployment.md
Project #3 Guidelines: MERN Web Application,TRUE,Week 8,Day 2,8,1,3,TRUE,Week 19,Halfday 2,19,1,1,PROJECT,module-3/project-3.md
Project planning session,TRUE,Week 8,Day 2,8,1,4,TRUE,Week 19,Halfday 2,19,1,2,RITUALS,other/project-planning.md
Stand ups,TRUE,Week 8,Day 3,8,2,0,TRUE,Week 19,Halfday 3,19,2,0,,other/stand-ups.md
Code interview test: Scramblies,TRUE,Week 8,Day 3,8,2,1,TRUE,Week 19,Halfday 3,19,2,1,,module-3/week-8/kata-scramblies.md
Project development,TRUE,Week 8,Day 3,8,2,2,TRUE,Week 19,Halfday 4,19,3,0,,other/project-dev.md
Stand ups,TRUE,Week 8,Day 4,8,3,0,TRUE,Week 20,Halfday 1,20,0,0,,other/stand-ups.md
Code interview test: Balancing parentheses,TRUE,Week 8,Day 4,8,3,1,TRUE,Week 20,Halfday 1,20,0,1,,module-3/week-8/kata-balancing-parentheses.md
Project development,TRUE,Week 8,Day 4,8,3,2,TRUE,Week 20,Halfday 2,20,1,0,,other/project-dev.md
Stand ups,TRUE,Week 8,Day 5,8,4,0,TRUE,Week 20,Halfday 3,20,2,0,,other/stand-ups.md
Code interview test: Pete the baker,TRUE,Week 8,Day 5,8,4,1,TRUE,Week 20,Halfday 3,20,2,0,,module-3/week-8/kata-pete-the-baker.md
Project development,TRUE,Week 8,Day 5,8,4,2,TRUE,Week 20,Halfday 4,20,3,0,,other/project-dev.md
Stand ups,TRUE,Week 9,Day 1,9,0,0,TRUE,Week 21,Halfday 1,21,0,0,,other/stand-ups.md
Code interview test: Directions reduction,TRUE,Week 9,Day 1,9,0,1,TRUE,Week 21,Halfday 2,21,1,0,,module-3/week-8/kata-directions-reduction.md
Project development,TRUE,Week 9,Day 1,9,0,2,TRUE,Week 21,Halfday 2,21,1,1,,other/project-dev.md
Stand ups,TRUE,Week 9,Day 2,9,1,0,TRUE,Week 21,Halfday 3,21,2,0,,other/stand-ups.md
Code interview test: Sum of pairs,TRUE,Week 9,Day 2,9,1,1,TRUE,Week 21,Halfday 3,21,2,1,,module-3/week-9/kata-sum-of-pairs.md
Project development,TRUE,Week 9,Day 2,9,1,2,TRUE,Week 21,Halfday 4,21,3,0,,other/project-dev.md
Presentation practice (optional),TRUE,Week 9,Day 2,9,1,3,TRUE,Week 21,Halfday 4,21,3,1,,other/presentations.md
Stand ups,TRUE,Week 9,Day 3,9,2,0,TRUE,Week 22,Halfday 1,22,0,0,,other/stand-ups.md
Code interview test: Don't eat the last cake,TRUE,Week 9,Day 3,9,2,1,TRUE,Week 22,Halfday 1,22,0,1,,module-3/week-9/kata-dont-eat-last-cake.md
Project development,TRUE,Week 9,Day 3,9,2,2,TRUE,Week 22,Halfday 2,22,1,0,,other/project-dev.md
Presentation practice (mandatory),TRUE,Week 9,Day 3,9,2,3,TRUE,Week 22,Halfday 2,22,1,1,,other/presentations.md
Stand ups,TRUE,Week 9,Day 4,9,3,0,TRUE,Week 22,Halfday 3,22,2,0,,other/stand-ups.md
Project development,TRUE,Week 9,Day 4,9,3,1,TRUE,Week 22,Halfday 4,20,3,0,,other/project-dev.md
Project development,FALSE,,,-1,-1,,TRUE,Week 23,Halfday 1,23,0,0,,
Project development,FALSE,,,-1,-1,,TRUE,Week 23,Halfday 2,23,1,0,,
Project development,FALSE,,,-1,-1,,TRUE,Week 23,Halfday 3,23,2,0,,
Project development,FALSE,,,-1,-1,,TRUE,Week 23,Halfday 4,23,3,0,,
Project development,FALSE,,,-1,-1,,TRUE,Week 24,Halfday 1,24,0,0,,
Project development,FALSE,,,-1,-1,,TRUE,Week 24,Halfday 2,24,1,0,,
Project development,FALSE,,,-1,-1,,TRUE,Week 24,Halfday 3,24,2,0,,other/project-dev.md
Presentations - Project #3,TRUE,Week 9,Day 5,9,4,0,TRUE,Week 24,Halfday 4,24,3,0,,other/final-presentation.md
