name,ft_active,ft_seq,ft_vert,ft_seq_index,ft_vert_index,ft_order,pt_active,pt_seq,pt_vert,pt_seq_index,pt_vert_index,pt_order,tag,file
LAB | JavaScript Clue,TRUE,Week 1,Day 3,1,2,2,TRUE,Week 2,Halfday 1,2,0,2,LAB,module-1/labs/lab-javascript-clue.md
CSS | Advanced Selectors,TRUE,Week 1,Day 3,1,2,3,TRUE,Week 2,Halfday 2,2,1,0,,module-1/week-1/css-advanced-selectors.md
CSS | Transitions & Animations,TRUE,Week 1,Day 3,1,2,4,TRUE,Week 2,Halfday 2,2,1,1,,module-1/week-1/css-transitions-animations.md
LAB | CSS Spotify clone,TRUE,Week 1,Day 3,1,2,5,TRUE,Week 2,Halfday 2,2,1,2,LAB,module-1/labs/lab-css-spotify-clone.md
CodeWars,TRUE,Week 1,Day 4,1,3,0,TRUE,Week 2,Halfday 3,2,2,0,KATA,module-1/week-1/self-guided/codewars.md
JS | Functions Advanced,TRUE,Week 1,Day 4,1,3,1,TRUE,Week 2,Halfday 3,2,2,1,,module-1/week-1/js-functions-advanced.md
"JS | Arrays - Map, Reduce & Filter",TRUE,Week 1,Day 4,1,3,2,TRUE,Week 2,Halfday 3,2,2,2,,module-1/week-1/js-arrays-filter-map-reduce.md
JS | Arrays - Sort & Reverse,TRUE,Week 1,Day 4,1,3,3,TRUE,Week 2,Halfday 4,2,3,0,,module-1/week-1/js-arrays-sort-reverse.md
LAB | Greatest movies of all time,TRUE,Week 1,Day 4,1,3,4,TRUE,Week 2,Halfday 4,2,3,1,LAB,module-1/labs/lab-javascript-greatest-movies.md
JS | Value vs Reference and Mutable Data Types,TRUE,Week 1,Day 4,1,3,5,TRUE,Week 2,Halfday 4,2,3,2,SELF_GUIDED,module-1/week-1/value-reference-mutability.md
"JS | OOP - objects, methods and the 'this' keyword",TRUE,Week 1,Day 5,1,4,0,TRUE,Week 3,Halfday 1,3,0,0,,module-1/week-1/js-oop-1.md
JS | OOP - class and inheritance,TRUE,Week 1,Day 5,1,4,1,TRUE,Week 3,Halfday 1,3,0,1,,module-1/week-1/js-oop-2.md
JS | OOP - Function constructor vs. Class,TRUE,Week 1,Day 5,1,4,2,TRUE,Week 3,Halfday 1,3,0,2,SELF_GUIDED,module-1/week-1/js-oop-3.md
LAB | JavaScript Vikings,TRUE,Week 1,Day 5,1,4,3,TRUE,Week 3,Halfday 2,3,1,0,LAB,module-1/labs/lab-javascript-vikings.md
Reinforcement session,TRUE,Week 1,Day 5,1,4,4,TRUE,Week 3,Halfday 2,3,1,1,,module-1/week-1/recap.md
Semi-module retrospective,TRUE,Week 1,Day 5,1,4,5,TRUE,Week 3,Halfday 2,3,1,2,,other/module-retro.md'
