name,active,seq,vert,seq_index,vert_index,order,tag,file,deliverable_display_name,deliverable_identifier,deliverable_description,deliverable_duedate
LAB | Mongoose Movies & Celebrities (Part 2 - from iteration 7) -- continue,TRUE,Week 12,Halfday 1,12,0,0,LAB,module-2/labs/lab-mongoose-movies.md,,,,
Node | The concern on users' security,TRUE,Week 12,Halfday 1,12,0,1,,module-2/week-5/node-bcrypt.md,,,,
Node | User registration,TRUE,Week 12,Halfday 1,12,0,2,,module-2/week-5/user-registration.md,,,,
Replay,FALSE,Week 12,Halfday 1,12,0,3,RITUALS,md/replay-w12h1.md,,,,
LAB | Express basic auth - iteration 1,TRUE,Week 12,Halfday 2,12,1,0,LAB,module-2/labs/lab-express-basic-auth.md,,,,
Node | Form validation,TRUE,Week 12,Halfday 2,12,1,1,,module-2/week-5/form-validation.md,,,,
Node | Basic Authentication & Sessions,TRUE,Week 12,Halfday 2,12,1,2,,module-2/week-5/node-basic-authentication.md,,,,
Replay,FALSE,Week 12,Halfday 2,12,1,3,RITUALS,md/replay-w12h2.md,,,,
LAB | Express basic auth - iterations 2 and 3,TRUE,Week 12,Halfday 3,12,2,3,LAB,module-2/labs/lab-express-basic-auth.md,,,,
"Passport | Sign Up, Login, Logout",TRUE,Week 12,Halfday 3,12,2,4,SELF_GUIDED,module-2/week-5/node-passport-login.md,,,,
LAB | Authentication with passport,TRUE,Week 12,Halfday 3,12,2,5,SELF_GUIDED,module-2/labs/lab-authentication-with-passport.md,,,,
Passport | Security & Roles,TRUE,Week 12,Halfday 3,12,2,6,SELF_GUIDED,module-2/week-5/node-passport-roles.md,,,,
LAB | Passport roles,TRUE,Week 12,Halfday 3,12,2,7,SELF_GUIDED,module-2/labs/lab-passport-roles.md,,,,
Passport | Strategies and Social Login,TRUE,Week 12,Halfday 3,12,2,8,SELF_GUIDED,module-2/week-5/node-passport-strategies.md,,,,
Users to Movies&Celebrities - reinforcement of auth concept,TRUE,Week 12,Halfday 4,12,3,1,LAB,module-2/week-5/node-auth-reinforcement.md,,,,
AXIOS | GET Request,TRUE,Week 12,Halfday 4,12,3,2,,module-2/week-5/axios-get.md,,,,
Bonus: LAB | Financial data graphing,TRUE,Week 12,Halfday 4,12,3,3,LAB,module-2/labs/lab-financial-data-graphing.md,,,,
Replay,FALSE,Week 12,Halfday 4,12,3,3,RITUALS,md/replay-w12h4.md,,,,
"AXIOS | POST, PUT and DELETE request",TRUE,Week 12,Halfday 4,12,3,4,SELF_GUIDED,module-2/week-5/axios-post-put-delete.md,,,,
JSON Server,TRUE,Week 12,Halfday 4,12,3,5,SELF_GUIDED,module-2/week-5/json-server.md,,,,
LAB | AXIOS CRUD Characters,TRUE,Week 12,Halfday 4,12,3,6,SELF_GUIDED,module-2/labs/lab-ajax-crud-characters.md,,,,
Survey week 12,TRUE,Week 13,Halfday 1,13,0,0,RITUALS,md/survey.md,,,,
Deploy to Heroku,TRUE,Week 13,Halfday 1,13,0,1,,module-2/week-5/node-heroku-deploy.md,,,,
Express | File Upload CDN,TRUE,Week 13,Halfday 1,13,0,2,,module-2/week-5/file-upload-cdn.md,,,,
Bonus: LAB | File Upload,TRUE,Week 13,Halfday 1,13,0,3,LAB,module-2/labs/lab-file-upload.md,,,,
Replay,FALSE,Week 13,Halfday 1,13,0,4,RITUALS,md/replay-w13h1.md,,,,
Bonus: Express | File Upload,TRUE,Week 13,Halfday 1,13,0,5,SELF_GUIDED,module-2/week-5/node-file-upload.md,,,,
Bonus: LAB | IronRooms,TRUE,Week 13,Halfday 1,13,0,6,SELF_GUIDED,module-2/labs/lab-express-rooms-with-reviews.md,,,,
VCS | Collaboration with GitHub,TRUE,Week 13,Halfday 2,13,1,1,,module-2/week-5/git-github-collaboration.md,,,,
Project planning session,TRUE,Week 13,Halfday 2,13,1,2,RITUALS,other/project-planning.md,,,,
Project #2 Guidelines: Full-stack Web Application,TRUE,Week 13,Halfday 2,13,1,3,PROJECT,module-2/project-2.md,,,,
Replay,FALSE,Week 13,Halfday 2,13,1,4,RITUALS,md/replay-w13h2.md,,,,
LAB Review | Financial data graphing,FALSE,Week 13,Halfday 3,13,2,0,RITUALS,md/labreview-financial-data-graphing.md,,,,
Lab review - File Upload,FALSE,Week 13,Halfday 3,13,2,1,RITUALS,md/labreview-file-upload.md,,,,
Replay,FALSE,Week 13,Halfday 3,13,2,2,RITUALS,md/replay-w13h3.md,,,,
Stand ups,TRUE,Week 13,Halfday 3,13,2,3,,other/stand-ups.md,,,,
Code interview test: Persistent Bugger,FALSE,Week 13,Halfday 3,13,2,4,,module-2/week-6/kata-persistent-bugger.md,,,,
Stand ups,TRUE,Week 13,Halfday 4,13,3,0,,other/stand-ups.md,,,,
Software Engineering Principles,TRUE,Week 13,Halfday 4,13,3,1,SELF_GUIDED,module-2/week-5/self-guided/software-engineering-principles.md,,,,
Project development,TRUE,Week 13,Halfday 4,13,3,2,,other/project-dev.md,,,,
Survey week 13,TRUE,Week 14,Halfday 1,14,0,0,RITUALS,md/survey.md,,,,
Code interview test: Playing with digits,TRUE,Week 14,Halfday 1,14,0,2,,module-2/week-6/kata-playing-with-digits.md,,,,
Google Maps | Geolocation,TRUE,Week 14,Halfday 1,14,0,3,SELF_GUIDED,module-2/week-5/google-maps-geolocation.md,,,,
Google Maps & Express,TRUE,Week 14,Halfday 2,14,1,0,SELF_GUIDED,module-2/week-5/google-maps-express.md,,,,
LAB | Coffee and books,TRUE,Week 14,Halfday 2,14,1,1,SELF_GUIDED,module-2/labs/lab-coffee-and-books.md,,,,
Project development,TRUE,Week 14,Halfday 2,14,1,2,,other/project-dev.md,,,,
Stand ups,TRUE,Week 14,Halfday 3,14,2,0,,other/stand-ups.md,,,,
Code interview test: Find the missing letter,TRUE,Week 14,Halfday 3,14,2,1,,module-2/week-6/kata-find-the-missing-letter.md,,,,
Nodemailer,TRUE,Week 14,Halfday 3,14,2,2,SELF_GUIDED,module-2/week-5/nodemailer.md,,,,
LAB | Nodemailer,TRUE,Week 14,Halfday 4,14,3,0,SELF_GUIDED,module-2/labs/lab-nodemailer.md,,,,
Project development,TRUE,Week 14,Halfday 4,14,3,1,,other/project-dev.md,,,,
Presentation practice (optional),TRUE,Week 14,Halfday 4,14,3,2,,other/presentations.md,,,,
Survey week 14,TRUE,Week 15,Halfday 1,15,0,0,RITUALS,md/survey.md,,,,
Stand ups,TRUE,Week 15,Halfday 1,15,0,1,,other/stand-ups.md,,,,
Code interview test: Street Fighter 2 - Character selection,TRUE,Week 15,Halfday 1,15,0,2,,module-2/week-6/kata-street-fighter-2.md,,,,
Project development,TRUE,Week 15,Halfday 2,15,1,0,,other/project-dev.md,,,,
Presentation practice (mandatory),TRUE,Week 15,Halfday 2,15,1,1,,other/presentations.md,,,,
Project development,TRUE,Week 15,Halfday 3,15,2,0,,other/project-dev.md,,,,
Project development,TRUE,Week 15,Halfday 4,15,3,0,,other/project-dev.md,,,,
Survey week 15,TRUE,Week 16,Halfday 1,16,0,0,RITUALS,md/survey.md,,,,
Project development,TRUE,Week 16,Halfday 1,16,0,1,,other/project-dev.md,,,,
Presentations - Project #2,TRUE,Week 16,Halfday 2,16,1,0,RITUALS,other/final-presentation.md,,,,
Replay,FALSE,Week 16,Halfday 2,16,1,1,RITUALS,md/replay-w16h2.md,,,,
Project retrospective,TRUE,Week 16,Halfday 3,16,2,0,,module-2/week-4/retrospective.md,,,,
Project feedback,FALSE,Week 16,Halfday 3,16,2,1,,module-3/week-7/retrospective.md,,,,
React | Intro to React - Create React app from the scratch,TRUE,Week 16,Halfday 3,16,2,2,,module-3/week-7/react-intro-babel-webpack.md,,,,
Replay,FALSE,Week 16,Halfday 3,16,2,3,RITUALS,md/replay-w16h3.md,,,,
LAB | Hello Ironhack,TRUE,Week 16,Halfday 3,16,2,4,LAB,module-3/labs/lab-hello-ironhack.md,,,,
HOF exercises,TRUE,Week 16,Halfday 4,16,3,0,SELF_GUIDED,module-3/week-7/hof-katas.md,,,,
"React | Create React App, JSX and React elements",TRUE,Week 16,Halfday 4,16,3,1,,module-3/week-7/cra-jsx-elements.md,,,,
React | Components and Props,TRUE,Week 16,Halfday 4,16,3,2,,module-3/week-7/comps-props-intro.md,,,,
LAB | Bulma,TRUE,Week 16,Halfday 4,16,3,3,LAB,module-3/labs/lab-bulma-components.md,,,,
Survey week 16,TRUE,Week 17,Halfday 1,17,0,0,RITUALS,md/survey.md,,,,
LAB | React training [steps 1-7],TRUE,Week 17,Halfday 1,17,0,0,LAB,module-3/labs/lab-react-training.md,,,,
React | Using composition in React,TRUE,Week 17,Halfday 1,17,0,2,SELF_GUIDED,module-3/week-7/using-composition-in-react.md,,,,
React | Composition vs. Inheritance,TRUE,Week 17,Halfday 1,17,0,3,SELF_GUIDED,module-3/week-7/sg-composition-inheritance.md,,,,
React | Composition and Inheritance - general concept,TRUE,Week 17,Halfday 1,17,0,4,SELF_GUIDED,module-3/week-7/composition-inheritance-general.md,,,,
React | State,TRUE,Week 17,Halfday 2,17,1,0,,module-3/week-7/state.md,,,,
React | List & Keys,TRUE,Week 17,Halfday 3,17,2,1,,module-3/week-7/list-keys.md,,,,
Replay,FALSE,Week 17,Halfday 3,17,2,2,RITUALS,md/replay-w17h3.md,,,,
LAB | React IronContacts,TRUE,Week 17,Halfday 3,17,2,3,LAB,module-3/labs/lab-react-ironcontacts.md,,,,
React | Conditional Rendering,TRUE,Week 17,Halfday 4,17,3,0,,module-3/week-7/conditional-rendering.md,,,,
React | Forms,TRUE,Week 17,Halfday 4,17,3,1,,module-3/week-7/forms.md,,,,
Replay,FALSE,Week 17,Halfday 4,17,3,2,RITUALS,md/replay-w17h4.md,,,,
Survey week 17,TRUE,Week 18,Halfday 1,18,0,0,RITUALS,md/survey.md,,,,
LAB | React IronNutrition,TRUE,Week 18,Halfday 1,18,0,1,LAB,module-3/labs/lab-react-ironnutrition.md,,,,
Bonus | React SVG Icons,TRUE,Week 18,Halfday 1,18,0,2,EXTRA,md/react-svg-icons.md,,,,
Replay,FALSE,Week 18,Halfday 1,18,0,2,RITUALS,md/replay-w18h1.md,,,,
Ironlecture,TRUE,Week 18,Halfday 2,18,1,0,EXTRA,md/ironlecture-gift.md,,,,
Lab review - React IronContacts,FALSE,Week 18,Halfday 2,18,1,1,RITUALS,md/labreview-react-ironcontacts.md,,,,
Reinforcement | Meteo,TRUE,Week 18,Halfday 2,18,1,2,EXTRA,md/react-meteo.md,,,,
Replay,FALSE,Week 18,Halfday 2,18,1,3,RITUALS,md/replay-w18h2.md,,,,
React | Intro to Routing,TRUE,Week 18,Halfday 3,18,2,0,,module-3/week-7/routing-intro.md,,,,
React | Routing Advanced,TRUE,Week 18,Halfday 3,18,2,1,,module-3/week-7/routing-advanced.md,,,,
LAB | Wiki Countries,TRUE,Week 18,Halfday 3,18,2,2,LAB,module-3/labs/lab-wiki-countries.md,,,,
Replay,FALSE,Week 18,Halfday 3,18,2,3,RITUALS,md/replay-w18h3.md,,,,
"Lab review - reinforcement of state, props, forms in React",FALSE,Week 18,Halfday 4,18,3,0,,module-3/week-7/state-props-forms-reinforcement.md,,,,
React | Lifting State Up,TRUE,Week 18,Halfday 4,18,3,1,,module-3/week-7/lifting-state-up.md,,,,
Replay,FALSE,Week 18,Halfday 4,18,3,2,RITUALS,md/replay-w18h4.md,,,,
LAB | Thinking in React,TRUE,Week 18,Halfday 4,18,3,3,LAB,module-3/labs/lab-thinking-in-react.md,,,,
React | Lifting State Up - advanced,TRUE,Week 18,Halfday 4,18,3,4,SELF_GUIDED,module-3/week-7/additional-lifting-state-up.md,,,,
Survey week 18,TRUE,Week 19,Halfday 1,19,0,0,RITUALS,md/survey.md,,,,
Lab review - React IronNutrition,FALSE,Week 19,Halfday 1,19,0,1,RITUALS,md/labreview-react-ironnutrition.md,,,,
MasterPlan,TRUE,Week 19,Halfday 1,19,0,2,,md/react-masterplan.md,,,,
Review - MasterPlan,TRUE,Week 19,Halfday 2,19,1,0,RITUALS,md/react-masterplan-review.md,,,,
React | Building the Rest API,TRUE,Week 19,Halfday 2,19,1,1,,module-3/week-7/front-back-integration-I.md,,,,
React | Connecting React app to the backend,TRUE,Week 19,Halfday 2,19,1,2,,module-3/week-7/connecting-react-to-backend.md,,,,
React | Integrating the React App,TRUE,Week 19,Halfday 2,19,1,3,,module-3/week-7/front-back-integration-II.md,,,,
Replay,FALSE,Week 19,Halfday 2,19,1,4,RITUALS,md/replay-w19h2.md,,,,
LAB | React IronBeers,TRUE,Week 19,Halfday 3,19,2,0,LAB,module-3/labs/lab-react-ironbeers.md,,,,
React | Lifecycle methods,TRUE,Week 19,Halfday 3,19,2,1,,module-3/week-7/lifecycle-methods.md,,,,
LAB | React Training [steps 8 and up],TRUE,Week 19,Halfday 3,19,2,2,SELF_GUIDED,module-3/labs/lab-react-training.md,,,,
Kata | Bingo,TRUE,Week 19,Halfday 3,19,2,3,KATA,md/kata-06.md,,,,
React | Authentication,TRUE,Week 19,Halfday 4,19,3,0,,module-3/week-8/authentication.md,,,,
Replay,FALSE,Week 19,Halfday 4,19,3,1,RITUALS,md/replay-w19h4.md,,,,
React & Express | File Upload,TRUE,Week 19,Halfday 4,19,3,2,SELF_GUIDED,module-3/week-8/file-upload.md,,,,
LAB | Profile App,TRUE,Week 19,Halfday 4,19,3,3,LAB,module-3/labs/lab-profile-app.md,,,,
LAB | Profile App Avatar,FALSE,Week 19,Halfday 4,19,3,4,SELF_GUIDED,,,,,
Project #3 Guidelines: MERN Web Application,TRUE,Week 19,Halfday 4,19,3,5,PROJECT,module-3/project-3.md,,,,
Project planning session,TRUE,Week 19,Halfday 4,19,3,6,RITUALS,other/project-planning.md,,,,
Survey week 19,TRUE,Week 20,Halfday 1,20,0,0,RITUALS,md/survey.md,,,,
Lab review - Thinking in React,FALSE,Week 20,Halfday 1,20,0,1,RITUALS,md/labreview-thinking-in-react.md,,,,
Stand ups,TRUE,Week 20,Halfday 1,20,0,2,,other/stand-ups.md,,,,
Code interview test: Scramblies,FALSE,Week 20,Halfday 1,20,0,3,,module-3/week-8/kata-scramblies.md,,,,
Project development,TRUE,Week 20,Halfday 1,20,0,4,,other/project-dev.md,,,,
Stand ups,FALSE,Week 20,Halfday 1,20,0,5,,other/stand-ups.md,,,,
Code interview test: Balancing parentheses,FALSE,Week 20,Halfday 1,20,0,6,,module-3/week-8/kata-balancing-parentheses.md,,,,
Project development,TRUE,Week 20,Halfday 2,20,1,0,,other/project-dev.md,,,,
Stand ups,TRUE,Week 20,Halfday 3,20,2,1,,other/stand-ups.md,,,,
Code interview test: Pete the baker,TRUE,Week 20,Halfday 3,20,2,2,,module-3/week-8/kata-pete-the-baker.md,,,,
Project development,TRUE,Week 20,Halfday 4,20,3,0,,other/project-dev.md,,,,
Project development,TRUE,Week 20,Halfday 4,20,3,1,,other/project-dev.md,,,,
Survey week 20,TRUE,Week 21,Halfday 1,21,0,0,RITUALS,md/survey.md,,,,
React | Deployment,TRUE,Week 21,Halfday 1,21,0,1,,module-3/week-8/deployment.md,,,,
Stand ups,TRUE,Week 21,Halfday 1,21,0,2,,other/stand-ups.md,,,,
Code interview test: Directions reduction,TRUE,Week 21,Halfday 2,21,1,0,,module-3/week-8/kata-directions-reduction.md,,,,
Project development,TRUE,Week 21,Halfday 2,21,1,1,,other/project-dev.md,,,,
Stand ups,TRUE,Week 21,Halfday 3,21,2,0,,other/stand-ups.md,,,,
Code interview test: Sum of pairs,TRUE,Week 21,Halfday 3,21,2,1,,module-3/week-9/kata-sum-of-pairs.md,,,,
Project development,TRUE,Week 21,Halfday 4,21,3,0,,other/project-dev.md,,,,
Presentation practice (optional),TRUE,Week 21,Halfday 4,21,3,1,,other/presentations.md,,,,
Survey week 21,TRUE,Week 22,Halfday 1,22,0,0,RITUALS,md/survey.md,,,,
Stand ups,TRUE,Week 22,Halfday 1,22,0,1,,other/stand-ups.md,,,,
Code interview test: Don't eat the last cake,TRUE,Week 22,Halfday 1,22,0,2,,module-3/week-9/kata-dont-eat-last-cake.md,,,,
Project development,TRUE,Week 22,Halfday 2,22,1,0,,other/project-dev.md,,,,
Presentation practice (mandatory),TRUE,Week 22,Halfday 2,22,1,1,,other/presentations.md,,,,
Stand ups,TRUE,Week 22,Halfday 3,22,2,0,,other/stand-ups.md,,,,
Stand ups,TRUE,Week 22,Halfday 4,22,3,0,,other/stand-ups.md,,,,
Survey week 22,TRUE,Week 23,Halfday 1,23,0,0,RITUALS,md/survey.md,,,,
Project development,TRUE,Week 23,Halfday 1,23,0,1,,,,,,
Project development,TRUE,Week 23,Halfday 2,23,1,0,,,,,,
Project development,TRUE,Week 23,Halfday 3,23,2,0,,,,,,
Project development,TRUE,Week 23,Halfday 4,23,3,0,,,,,,
Survey week 23,TRUE,Week 24,Halfday 1,24,0,0,RITUALS,md/survey.md,,,,
Project development,TRUE,Week 24,Halfday 1,24,0,1,,,,,,
Project development,TRUE,Week 24,Halfday 2,24,1,0,,,,,,
Project development,TRUE,Week 24,Halfday 3,24,2,0,,other/project-dev.md,,,,
Presentations - Project #3,TRUE,Week 24,Halfday 4,24,3,0,,other/final-presentation.md,,,,
